system,queries,zero_result_queries,mean_p_at_10,p_at_10_ci95_low,p_at_10_ci95_high,mean_strict_p_at_10,strict_p_at_10_ci95_low,strict_p_at_10_ci95_high,mean_ndcg_at_10,ndcg_at_10_ci95_low,ndcg_at_10_ci95_high,mean_mrr_at_10,mrr_at_10_ci95_low,mrr_at_10_ci95_high,mean_pooled_relevant_coverage_at_10,pooled_relevant_coverage_at_10_ci95_low,pooled_relevant_coverage_at_10_ci95_high
bioscouter_keyword,80,10,0.655,0.56625,0.74,0.245,0.18,0.3175,0.551413,0.47845,0.623909,0.41,0.311875,0.510417,0.277978,0.243416,0.312399
bioscouter_embedding,80,10,0.665,0.57375,0.75375,0.23625,0.1725,0.30375,0.546436,0.46816,0.621602,0.396176,0.298452,0.497321,0.276078,0.241625,0.310672
bioscouter_hybrid,80,0,0.7575,0.6925,0.82,0.23625,0.175,0.30125,0.621821,0.562393,0.679492,0.421404,0.322217,0.518889,0.360547,0.329875,0.390989
native_source_api,80,18,0.43,0.34375,0.51875,0.1175,0.07125,0.16625,0.343543,0.273417,0.413467,0.291042,0.2,0.384375,0.181726,0.145451,0.218132
omicsdi,80,3,0.665,0.585,0.7425,0.2,0.14,0.2625,0.530889,0.46036,0.59958,0.369286,0.270327,0.467827,0.332469,0.284251,0.383096
