query_id,system,rank,status,elapsed_s,record_key,accession,source,title,omics_type,organism,sample_count,relevance_score,source_url
T01,bioscouter_hybrid,1,200,6.213,geo|GSE241016,GSE241016,geo,Distinct Epithelial-Innate Immune Cell Transcriptional Circuits Underlie Airway Hyperresponsiveness in Asthma,transcriptomics,Homo sapiens,20,0.740474,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241016
T01,bioscouter_hybrid,2,200,6.213,ena|PRJNA973999,PRJNA973999,ena,RNA-sequencing (RNAseq) of human small airway epithelial cells treated with neutrophil extracellular traps,transcriptomics,Homo sapiens,0,0.739897,https://www.ebi.ac.uk/ena/browser/view/PRJNA973999
T01,bioscouter_hybrid,3,200,6.213,ena|PRJNA931313,PRJNA931313,ena,Distinct Epithelial-Innate Immune Cell Transcriptional Circuits Underlie Airway Hyperresponsiveness in Asthma,transcriptomics,,0,0.732222,https://www.ebi.ac.uk/ena/browser/view/PRJNA931313
T01,bioscouter_hybrid,4,200,6.213,ena|PRJNA1311636,PRJNA1311636,ena,Effects of AQI on airway epithelial omics in children with asthma,genomics,Homo sapiens,0,0.707233,https://www.ebi.ac.uk/ena/browser/view/PRJNA1311636
T01,bioscouter_hybrid,5,200,6.213,ena|PRJNA1311635,PRJNA1311635,ena,Effects of AQI on airway epithelial omics in children with asthma,genomics,Homo sapiens,0,0.707233,https://www.ebi.ac.uk/ena/browser/view/PRJNA1311635
T01,bioscouter_hybrid,6,200,6.213,geo|GSE61141,GSE61141,geo,Phenotypic responses of differentiated asthmatic human airway epithelial cultures to rhinovirus,transcriptomics,Homo sapiens,24,0.694221,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61141
T01,bioscouter_hybrid,7,200,6.213,ena|PRJNA222885,PRJNA222885,ena,"Expression data from airway epithelial cells stimulated with Poly(I:C) from patients with asthma, rhinitis, and healthy controls",genomics,Homo sapiens,0,0.689204,https://www.ebi.ac.uk/ena/browser/view/PRJNA222885
T01,bioscouter_hybrid,8,200,6.213,geo|GSE85567,GSE85567,geo,DNA methylation in lung cells is a key modulator of asthma endotypes and genetic risk [RNA-seq],epigenomics,Homo sapiens,85,0.688886,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE85567
T01,bioscouter_hybrid,9,200,6.213,geo|GSE232805,GSE232805,geo,RNA-sequencing (RNAseq) of human small airway epithelial cells treated with neutrophil extracellular traps,transcriptomics,Homo sapiens,6,0.685013,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232805
T01,bioscouter_hybrid,10,200,6.213,ena|PRJNA151183,PRJNA151183,ena,Airway Epithelial miRNA Expression in Asthma,genomics,Homo sapiens,0,0.675568,https://www.ebi.ac.uk/ena/browser/view/PRJNA151183
T01,native_source_api,1,200,1.601,geo|GSE313889,GSE313889,geo,Allergen-Induced Epithelial Senescence Drives Airway Inflammation via the AhR-c-Myc Axis,transcriptomics,Homo sapiens,6,0.5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE313889
T01,native_source_api,2,200,1.601,geo|GSE309698,GSE309698,geo,Transcriptomic Profiling of Bronchial Epithelium Reveals Dysregulated Interferon and Inflammatory Responses to Rhinovirus in Exacerbation-Prone Pediatric Asthma [RNA-Seq],single_cell,Homo sapiens,246,0.5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309698
T01,native_source_api,3,200,1.601,geo|GSE237586,GSE237586,geo,FoxO factors are essential for maintaining organ homeostasis by acting as stress sensors in airway epithelial cells,transcriptomics,Drosophila melanogaster,18,0.5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237586
T01,native_source_api,4,200,1.601,geo|GSE297032,GSE297032,geo,Atopic asthma lowers nasal mucosal sphingolipids,transcriptomics,Homo sapiens,24,0.45000000000000007,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE297032
T01,native_source_api,5,200,1.601,geo|GSE310981,GSE310981,geo,Hic-5 drives epithelial mechanotransduction promoting a feed-forward cycle of bronchoconstriction.,transcriptomics,Homo sapiens,24,0.45000000000000007,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310981
T01,native_source_api,6,200,1.601,geo|GSE273687,GSE273687,geo,Allergen induces pulmonary neuroendocrine hyperplasia in asthma,transcriptomics,Mus musculus,2,0.45000000000000007,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273687
T01,native_source_api,7,200,1.601,geo|GSE325003,GSE325003,geo,Homo sapiens Transcriptome or Gene expression,transcriptomics,Homo sapiens,6,0.4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325003
T01,native_source_api,8,200,1.601,geo|GSE294310,GSE294310,geo,Fibrinogen αC-Domain derived from Group 1 Allergen of Dermatophagoides microceras modulates cell adhesion in human bronchial epithelial Cells,transcriptomics,Homo sapiens,8,0.35,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294310
T01,native_source_api,9,200,1.601,geo|GSE325572,GSE325572,geo,Transcriptomic analyses identify TMPRSS4 as a shared biomarker in asthma and atopic dermatitis,transcriptomics,Homo sapiens,12,0.3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325572
T01,native_source_api,10,200,1.601,geo|GSE294780,GSE294780,geo,Identification of a novel interleukin-9 receptor complex in non-hematopoietic cells,transcriptomics,Homo sapiens,6,0.3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294780
T01,omicsdi,1,200,0.611,biostudies-arrayexpress|E-GEOD-61141,E-GEOD-61141,biostudies-arrayexpress,Phenotypic responses of differentiated asthmatic human airway epithelial cultures to rhinovirus,Transcriptomics,Homo sapiens,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-61141
T01,omicsdi,2,200,0.611,ega|EGAS00001007450,EGAS00001007450,ega,RSV infection of primary bronchial epithelial cells in asthma,Genomics,,,,https://www.omicsdi.org/dataset/ega/EGAS00001007450
T01,omicsdi,3,200,0.611,biostudies-arrayexpress|E-GEOD-49047,E-GEOD-49047,biostudies-arrayexpress,Overexpression of Dimethylarginine Dimethylaminohydrolase 1 Attenuates Airway Inflammation in Mouse Models of Asthma,Transcriptomics,Mus musculus,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-49047
T01,omicsdi,4,200,0.611,biostudies-literature|S-EPMC10186126,S-EPMC10186126,biostudies-literature,Epithelial CST1 Promotes Airway Eosinophilic Inflammation in Asthma via the AKT Signaling Pathway.,Unknown,,,,https://www.omicsdi.org/dataset/biostudies-literature/S-EPMC10186126
