query_id,pool_id,system,rank,record_key
T02,c211b23cb9887602,bioscouter_hybrid,6,ena|PRJNA146177
T02,a9621a2013929217,bioscouter_hybrid,7,ena|PRJNA939227
T02,74a8bee24fc8d8ab,bioscouter_hybrid,8,ena|PRJNA772692
T02,41d55ec4b84fc9eb,bioscouter_hybrid,9,ena|PRJNA99031
T02,47fed146fa1547b6,bioscouter_hybrid,10,ena|PRJNA1375753
T02,e57172b3d5f3967a,native_source_api,1,geo|GSE277173
T02,e2677dc227fa7071,native_source_api,2,geo|GSE248121
T02,d1f18948791aa717,native_source_api,3,geo|GSE183047
T02,ce1e931853fddbc8,native_source_api,4,geo|GSE312703
T02,4a5aa2268b795708,native_source_api,5,geo|GSE220116
T02,0ad4ff8874eefdb3,native_source_api,6,geo|GSE185764
T02,31ab943f193f77e4,native_source_api,7,geo|GSE299051
T02,585b55086e7f8a19,native_source_api,8,geo|GSE299050
T02,91d0f4e3a19a4256,native_source_api,9,geo|GSE268738
T02,ed9b8f5433d4ecdc,native_source_api,10,geo|GSE224783
T02,73e81fac49c3fab8,omicsdi,1,biostudies-arrayexpress|E-GEOD-30999
T02,83e916665407d56c,omicsdi,2,biostudies-arrayexpress|E-GEOD-51440
T02,d63d2efe35a7c4fe,omicsdi,3,biostudies-arrayexpress|E-GEOD-47944
T02,d62fa6fa1bd9bc96,omicsdi,4,biostudies-arrayexpress|E-GEOD-41662
T02,15041c089c97fab2,omicsdi,5,biostudies-arrayexpress|E-GEOD-34248
T02,20a6d76007815965,omicsdi,6,biostudies-arrayexpress|E-GEOD-53552
T02,7d0a8e297d74f216,omicsdi,7,biostudies-arrayexpress|E-GEOD-24767
T02,3863c8061841a7e9,omicsdi,8,pride|PXD021673
T02,49409dc6a02943ec,omicsdi,9,project|PRJNA1160898
T02,f9369efe602a1547,omicsdi,10,project|PRJNA735714
T03,7d5ab16753acd16d,bioscouter_keyword,1,ena|PRJNA449794
T03,72266000447e3392,bioscouter_keyword,2,ena|PRJNA449796
T03,83c2949381db6c9b,bioscouter_keyword,3,ena|PRJNA808984
T03,cafee00dbe31e604,bioscouter_keyword,4,ena|PRJNA705464
T03,22641f30593d6ede,bioscouter_keyword,5,ena|PRJNA809770
T03,b5a4b95846f35e82,bioscouter_keyword,6,ena|PRJNA327769
T03,4ab1753bb42596c5,bioscouter_keyword,7,ena|PRJNA127957
T03,083ebb285028ced7,bioscouter_keyword,8,ena|PRJNA134015
T03,4dc72eeffc71a5b9,bioscouter_keyword,9,ena|PRJNA157021
